seq_id,kit,soil_type,comparison,bray,compared_kit,compared_soil,bray_rank
FastSpin-LT-4-2,FastSpin LT,Clay,FastSpin-LT-4-3,0.0674301641859508,FastSpin LT,Clay,1
FastSpin-LT-5-2,FastSpin LT,Beach Sand,FastSpin-LT-5-3,0.07095442908786789,FastSpin LT,Beach Sand,2
PowerSoil-Pro-HT-4-1,PowerSoil Pro HT,Clay,PowerSoil-Pro-HT-4-2,0.07195776084084048,PowerSoil Pro HT,Clay,3
PowerSoil-Pro-HT-4-1,PowerSoil Pro HT,Clay,PowerSoil-Pro-HT-4-3,0.07304276082188958,PowerSoil Pro HT,Clay,4
PowerSoil-LT-4-1,PowerSoil LT,Clay,PowerSoil-LT-4-2,0.0735660178858578,PowerSoil LT,Clay,5
FastSpin-HT-5-1,FastSpin HT,Beach Sand,FastSpin-HT-5-3,0.0744350932923906,FastSpin HT,Beach Sand,6
FastSpin-HT-5-2,FastSpin HT,Beach Sand,FastSpin-HT-5-3,0.07526777523423454,FastSpin HT,Beach Sand,7
PowerSoil-Pro-HT-4-2,PowerSoil Pro HT,Clay,PowerSoil-Pro-HT-4-3,0.075999984914229185,PowerSoil Pro HT,Clay,8
FastSpin-LT-2-2,FastSpin LT,Sand-Clay,FastSpin-LT-2-3,0.07610888463675848,FastSpin LT,Sand-Clay,9
FastSpin-HT-2-2,FastSpin HT,Sand-Clay,FastSpin-HT-2-3,0.07669687405921173,FastSpin HT,Sand-Clay,10
PowerSoil-LT-2-1,PowerSoil LT,Sand-Clay,PowerSoil-LT-2-3,0.07724812606935594,PowerSoil LT,Sand-Clay,11
FastSpin-HT-4-1,FastSpin HT,Clay,FastSpin-HT-4-2,0.07754784577193351,FastSpin HT,Clay,12
FastSpin-LT-2-1,FastSpin LT,Sand-Clay,FastSpin-LT-2-3,0.07831811282709496,FastSpin LT,Sand-Clay,13
FastSpin-HT-5-1,FastSpin HT,Beach Sand,FastSpin-HT-5-2,0.07930614385304528,FastSpin HT,Beach Sand,14
ZymoMagbead-HT-5-2,ZymoMagbead HT,Beach Sand,ZymoMagbead-HT-5-3,0.08055409617446534,ZymoMagbead HT,Beach Sand,15
FastSpin-LT-2-1,FastSpin LT,Sand-Clay,FastSpin-LT-2-2,0.08277512843288146,FastSpin LT,Sand-Clay,16
ZymoMagbead-HT-3-1,ZymoMagbead HT,Sand,ZymoMagbead-HT-3-2,0.08378556084839085,ZymoMagbead HT,Sand,17
FastSpin-HT-2-1,FastSpin HT,Sand-Clay,FastSpin-HT-2-3,0.0839408320614507,FastSpin HT,Sand-Clay,18
PowerSoil-LT-2-1,PowerSoil LT,Sand-Clay,PowerSoil-LT-2-2,0.08394572095358147,PowerSoil LT,Sand-Clay,19
PowerSoil-Pro-HT-2-2,PowerSoil Pro HT,Sand-Clay,PowerSoil-Pro-HT-2-3,0.08518528210324515,PowerSoil Pro HT,Sand-Clay,20
PowerSoil-LT-2-2,PowerSoil LT,Sand-Clay,PowerSoil-LT-2-3,0.08604575137739157,PowerSoil LT,Sand-Clay,21
