Soil type,Properties,Kit,DNA ext conc. [ng/µL],260/280,260/230,Failed Libraries,Library conc. [ng/µL],ASVs,Shannon Diversity
Beach Sand,Nice,FastSpin,  5.61 ( 0.39),1.90 (0.09),0.02 (0.00),0,14.29 (11.18),5497 ( 32),8.20 (0.02)
,,FastSpin HT,  0.40 ( 0.01),3.17 (0.43),0.18 (0.01),0,27.57 ( 2.08),5519 ( 74),8.24 (0.03)
,,PowerSoil,  1.47 ( 0.16),1.48 (0.18),0.70 (0.19),0,25.95 ( 2.62),5351 (130),8.17 (0.10)
,,PowerSoil Pro HT,  1.35 ( 0.29),1.79 (0.17),0.95 (0.04),0,10.15 ( 0.96),5097 ( 51),8.14 (0.02)
,,ZymoMagbead HT,  1.88 ( 0.42),1.44 (0.31),0.03 (0.01),0,19.44 ( 1.53),5184 (161),8.17 (0.04)
Clay,Something else,FastSpin,210.67 ( 4.51),1.75 (0.04),0.26 (0.01),1,12.76 (11.45),5920 ( 78),8.24 (0.05)
,,FastSpin HT, 48.44 (10.16),2.07 (0.01),0.67 (0.03),0,24.89 ( 2.22),5847 (129),8.21 (0.05)
,,PowerSoil, 49.78 ( 3.90),1.88 (0.01),1.94 (0.01),0,20.31 ( 0.98),6378 ( 87),8.42 (0.03)
,,PowerSoil Pro HT, 34.99 (16.83),1.92 (0.00),2.15 (0.01),0,18.45 ( 2.46),6067 ( 97),8.29 (0.03)
,,ZymoMagbead HT, 17.95 ( 4.48),1.65 (0.17),0.07 (0.06),0,22.68 ( 1.05),6098 (104),8.32 (0.02)
Organic,Moist,FastSpin, 64.15 (28.58),1.56 (0.02),0.38 (0.07),2, 5.94 (10.19),7353 ( NA),8.69 (  NA)
,,FastSpin HT, 17.98 ( 5.45),2.88 (0.49),0.21 (0.08),0,16.88 (11.17),6955 (290),8.63 (0.05)
,,PowerSoil, 47.05 ( 3.68),1.87 (0.01),1.89 (0.03),0,20.75 ( 1.38),7566 ( 33),8.74 (0.01)
,,PowerSoil Pro HT, 14.55 ( 0.83),1.93 (0.02),1.79 (0.36),0,15.51 ( 2.60),7431 (119),8.71 (0.03)
,,ZymoMagbead HT,  1.24 ( 1.17),1.55 (0.24),0.06 (0.01),2, 7.20 (12.40),6847 ( NA),8.58 (  NA)
Sand,Granular,FastSpin, 33.17 (10.61),1.62 (0.03),0.14 (0.04),0,17.94 ( 1.27),6341 ( 66),8.47 (0.02)
,,FastSpin HT, 11.89 ( 3.56),2.65 (0.27),0.25 (0.04),0,23.48 ( 0.72),5940 ( 54),8.32 (0.05)
,,PowerSoil, 12.85 ( 0.29),1.78 (0.06),1.43 (0.18),0,21.90 ( 2.18),6230 ( 69),8.42 (0.02)
,,PowerSoil Pro HT, 11.51 ( 2.12),1.91 (0.01),1.59 (0.38),0,19.84 ( 6.02),6348 ( 77),8.46 (0.02)
,,ZymoMagbead HT,  6.80 ( 2.44),1.68 (0.10),0.03 (0.01),0,21.04 ( 3.38),5910 ( 73),8.31 (0.03)
Sand-Clay,Something,FastSpin, 47.13 ( 0.99),1.53 (0.03),0.26 (0.04),0,18.60 ( 2.10),6171 ( 32),8.40 (0.01)
,,FastSpin HT, 13.32 ( 1.55),2.51 (0.10),0.23 (0.02),0,26.02 ( 2.07),5704 ( 52),8.24 (0.01)
,,PowerSoil, 18.14 ( 0.91),1.78 (0.03),1.48 (0.10),0,19.42 ( 2.03),6078 ( 58),8.38 (0.02)
,,PowerSoil Pro HT, 10.43 ( 1.33),1.90 (0.04),1.67 (0.13),0,15.66 ( 0.73),5963 (166),8.33 (0.05)
,,ZymoMagbead HT,  0.52 ( 0.11),1.38 (0.11),0.03 (0.01),0,11.14 ( 7.10),5642 (168),8.26 (0.06)
,,,,,,,,,
