A1: Ladder,B1: FastSpin-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1767046
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09318881
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05750506
0,0,0,0,0,0,0,0,0,0,0,0.06202505,0,0,0,0.05287948
0,0,0.06656778,0,0,0,0,0,0,0,0,0.8610908,0,0,0,0.04807851
0,0,0.1657586,0,0,0,0,0,0,0,0,1.986339,0,0,0,0.1243548
0,0.3359359,0.2533436,0,0,0,0,0,0,0,0,2.778813,0,0,0,0.1090124
0,0.3894663,0.2962202,0,0,0,0,0,0,0,0,3.31154,0,0,0,0.1036447
0,0.3392788,0.408375,0,0,0,0,0,0,0,0.03106288,3.299664,0,0,0,0.06613909
0,0.3496863,0.5247376,0,0,0,0,0,0,0,0.05536942,2.791443,0,0.01017902,0,0.004280782
0,0.3633857,0.4967536,0.05292045,0,0,0,0,0,0,0.1372895,2.44698,0,0.1180344,0,0.06887823
0,0.4934614,0.4580334,0.02422864,0,0,0,0,0,0,0.399672,2.143108,0.04528302,0.2280315,0.04077423,0.132521
0,0.6378473,0.4128754,0.06795133,0,0,0,0.0161325,0.02189043,0,0.5446029,1.991773,0.7749556,0.5420578,0.02113377,0.2171369
