FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,,100,8.5,8.5,,131,68,153,,1,,87.3,85,89.4,216.47,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,1,250,5.22,,,32.1,180,318,7.74,0.61,7.64,82.3,80.1,84.1,146.087,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,2,400,5.31,,,20.4,337,503,7.87,0.62,7.77,78.1,75.7,79.6,157.024,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,3,600,5.36,,,13.7,517,749,7.95,0.63,7.84,73.9,71.8,75.5,163.666,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,4,900,5.39,,,9.21,769,1054,8,0.63,7.89,70,68.5,71.5,176.004,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,5,1200,6.02,,,7.71,1054,1354,8.93,0.71,8.81,67.2,66.1,68.5,203.309,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,6,1500,5.54,,,5.68,1354,1777,8.22,0.65,8.11,65.1,63.3,66.1,181.92,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,7,2000,5.34,,,4.1,1777,2270,7.92,0.63,7.81,62,60.5,63.3,186.492,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,8,2500,5.21,,,3.21,2270,2758,7.74,0.61,7.63,59.4,58.1,60.5,187.055,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,9,3000,5.35,,,2.74,2758,3532,7.93,0.63,7.82,57,55.1,58.1,187.191,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,10,4000,5.02,,,1.93,3532,5413,7.44,0.59,7.34,53.7,51.9,55.1,181.553,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,11,7000,5.14,,,1.13,5413,10511,7.62,0.6,7.52,50.4,49,51.9,190.505,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,12,15000,4.59,,,0.471,10511,22528,6.82,0.54,6.72,47.7,46.3,49,156.702,
gDNA - 2023-04-14 - 23.39.25.gDNA,A1,Ladder,13,48500,3.93,,,0.125,22528,73067,5.83,0.46,5.75,45,43.1,46.3,126.441,
gDNA - 2023-04-14 - 23.39.25.gDNA,B1,FastSpin-HT-Organic-1,,100,8.5,8.5,,131,64,164,,1,,86.5,83.8,88.9,604.168,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,B1,FastSpin-HT-Organic-1,1,20198,0.676,,,0.0515,9114,>60000,100,0.08,25.73,46.2,43.3,49,25.778,
gDNA - 2023-04-14 - 23.39.25.gDNA,C1,FastSpin-HT-Organic-2,,100,8.5,8.5,,131,64,159,,1,,86.2,83.7,88.6,704,Lower Marker
gDNA - 2023-04-14 - 23.39.25.gDNA,C1,FastSpin-HT-Organic-2,1,20664,0.501,,,0.0373,10040,>60000,100,0.06,19.13,46,43.5,48.5,23.515,
