A1: Ladder,B1: Fastspin-LT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
0,0.5827268,2.029274,0,4.30703,0,5.007721,0.2142973,0,0,0,3.915246,0,0.4670632,0,0.1102382
0,0.5653593,2.676426,0,4.355614,0,4.757371,0.8811182,0,0,0,4.853542,0,0.4491136,0,0.1707869
0,1.824192,3.524111,0,4.042161,0,5.713603,0.4351495,0,0,0,4.158694,0,0.5962561,0,0.3070731
0,3.640828,4.466841,0.2865921,4.543645,0,6.497273,0.2785954,0,0,0,3.877228,0,0.7130292,0,0.3740639
0,4.429249,5.471488,0.5248852,5.950326,0,7.21492,0.6490622,0,0,0,3.857502,0,0.7654018,0,0.4255229
0,4.771319,5.109487,1.548253,6.312488,0,6.359166,1.603702,0,0,0,3.944759,0,0.7020632,0,0.3822658
0,4.861985,3.508379,2.784332,5.16191,1.96219,4.973271,1.37603,0,0,0,4.237706,0,0.6450939,0,0.2668901
0,5.551602,3.268051,2.332593,5.337234,3.212835,3.598486,0.6826981,0,0,0,3.940278,0,0.5531794,0.02239683,0.1975116
0,5.045393,3.303229,2.506011,5.588321,4.266009,3.201003,0.1185422,0,0,0,3.805265,0,0.3943233,0.05290571,0.09931365
0,4.74467,2.162271,2.586359,6.131956,5.441672,3.316772,1.190107,0,0,0,4.161998,0,0.4621875,0.01336616,0.02209691
0,5.125067,1.485588,2.250165,6.370399,6.051093,3.296091,2.038987,0,0,0,3.765863,0,0.5986864,0.06034599,0.005746309
0,4.515943,3.300322,1.398664,6.246941,6.814074,4.342957,2.884953,0,0,0,3.11701,0,0.7949537,0.06595128,0.01882576
0,3.293526,5.230812,1.367251,8.142514,7.69164,5.782471,3.299846,0,0,0,2.959802,0.7511338,0.9238853,0.09793822,0.1124341
0,2.700984,6.948414,0.8628395,8.674033,8.622065,6.559217,4.062705,0,0,0,3.813892,3.127344,0.9518132,0.1455105,0.1614533
