FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,,100,8.50,8.50,,131,67,155,,1.00,,85.3,82.9,87.4,173.505,Lower Marker
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,1,250,5.38,,,33.1,178,316,7.61,0.63,7.49,80.4,78.4,82.2,118.550,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,2,400,5.56,,,21.4,326,488,7.86,0.65,7.74,76.3,74.4,78.1,129.250,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,3,600,5.73,,,14.7,510,738,8.10,0.67,7.98,72.3,70.4,73.9,135.778,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,4,900,5.81,,,9.93,760,1049,8.21,0.68,8.08,68.5,67.1,70.1,144.060,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,5,1200,5.86,,,7.51,1049,1348,8.28,0.69,8.15,65.8,64.7,67.1,152.193,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,6,1500,6.03,,,6.19,1348,1762,8.53,0.71,8.39,63.8,62.1,64.7,150.724,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,7,2000,5.90,,,4.54,1762,2262,8.34,0.69,8.21,60.7,59.3,62.1,152.342,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,8,2500,5.65,,,3.47,2262,2758,7.98,0.66,7.86,58.1,56.9,59.3,151.827,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,9,3000,5.76,,,2.95,2758,3520,8.14,0.68,8.01,55.8,54.0,56.9,151.786,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,10,4000,5.39,,,2.07,3520,5370,7.61,0.63,7.50,52.6,50.8,54.0,144.712,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,11,7000,5.27,,,1.16,5531,10659,7.45,0.62,7.34,49.2,47.8,50.6,149.345,
gDNA - 2023-04-14 - 21.57.24.gDNA,A1,Ladder,12,15000,4.58,,,0.470,10659,22846,6.48,0.54,6.38,46.6,45.2,47.8,121.330,
