A1: Ladder,B1: ZymoMagbead-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.04772837,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1203313,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1654656,0,0,0,0,0,0,0,0,0,0,0,0,0.0550693
0,0,0.2630751,0,0,0,0,0,0,0,0,0,0,0,0,0.117194
0,0,0.3311556,0,0,0,0,0,0,0,0,0,0,0,0,0.07976702
0,0,0.3442578,0,0,0,0,0,0,0,0,0,0,0,0,0.0893567
0,0,0.2565054,0,0,0,0,0,0,0,0,0.05102161,0,0,0,0.1064219
0,0,0.2557893,0,0,0,0,0,0,0,0,0.1706951,0,0,0,0.1409027
0,0,0.2568158,0,0,0,0,0,0,0,0,0.2005291,0,0,0,0.1708315
0,0,0.2311807,0,0,0,0,0,0,0,0,0.1791297,0,0,0,0.1609972
0,0,0.2204391,0,0,0,0,0,0,0,0,0.1222815,0,0,0.1054859,0.1639214
0,0,0.2270113,0,0,0,0,0,0,0,0,0.02516559,0,0,0.0997153,0.09837901
0,0,0.250378,0,0,0,0,0,0,0,0,0.05521517,0,0,0.08003575,0.02865897
0,0,0.2914631,0,0,0,0,0.05837223,0,0,0,0.1210423,0,0,0.1035789,0.002625344
0,0,0.2816836,0,0,0,0,0.1811594,0,0,0,0.2025997,0,0,0.09618559,0.009168851
0,0,0.2844825,0,0,0.02373622,0,0.265932,0,0,0.1452311,0.2581977,0,0,0.1443213,0.05540644
0,0,0.2854596,0,0,0.1595075,0,0.2722298,0,0,0.2640578,0.1914588,0,0,0.1736073,0.1229972
0,0,0.2395742,0,0.08745431,0.2291944,0.02049015,0.1774765,0,0,0.1432202,0.2008371,0,0,0.2639691,0.1213356
0,0,0.2445924,0.1087333,0.2649429,0.303065,0.02826337,0.09560569,0,0,0.00765451,0.2281463,0,0.1188928,0.350756,0.1750631
0,0,0.1717455,0.2730643,0.399126,0.2553866,0.04737176,0.09050214,0,0.0108901,0.004347948,0.1761166,0.1082827,0.2368687,0.4111538,0.1789112
