FileName,Well,Sample Description,Peak,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Comment,Peak Molarity [nmol/l],From [bp],To [bp],% Integrated Area,Area,% of Total,Run Distance [%],From [%],To [%],Height,Observations
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,,100,8.5,8.5,,131,68,151,,1,,87.8,85.5,89.9,201.878,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,1,250,5.59,,,34.4,180,315,7.47,0.66,7.29,82.7,80.6,84.5,146.122,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,2,400,5.84,,,22.4,334,490,7.8,0.69,7.61,78.5,76.4,80.1,158.61,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,3,600,5.9,,,15.1,512,725,7.88,0.69,7.69,74.3,72.5,76,165.611,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,4,900,5.99,,,10.2,772,1049,8,0.7,7.81,70.3,68.9,71.8,178.426,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,5,1200,6.16,,,7.89,1049,1354,8.23,0.72,8.03,67.6,66.4,68.9,189.685,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,6,1500,6.22,,,6.38,1354,1777,8.31,0.73,8.12,65.4,63.6,66.4,185.87,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,7,2000,6.06,,,4.66,1777,2253,8.1,0.71,7.91,62.4,60.9,63.6,189.235,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,8,2500,5.96,,,3.66,2253,2748,7.96,0.7,7.77,59.7,58.4,60.9,189.762,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,9,3000,6.08,,,3.12,2748,3520,8.13,0.72,7.93,57.2,55.4,58.4,189.931,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,10,4000,5.71,,,2.2,3548,5370,7.63,0.67,7.45,54,52.2,55.4,184.301,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,11,7000,5.71,,,1.25,5531,10511,7.62,0.67,7.44,50.6,49.1,52,190.645,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,12,15000,4.95,,,0.508,10511,21408,6.62,0.58,6.46,47.9,46.6,49.1,158.152,
gDNA - 2023-04-14 - 22.48.43.gDNA,A1,Ladder,13,48500,4.68,,,0.148,21408,74183,6.25,0.55,6.1,45.2,43.1,46.6,127.087,
gDNA - 2023-04-14 - 22.48.43.gDNA,B1,ZymoMagbead-HT-Organic-1,,100,8.5,8.5,,131,67,146,,1,,87.5,85.4,89.6,645.945,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,B1,ZymoMagbead-HT-Organic-1,1,9932,0.162,,,0.0251,8743,16971,100,0.02,6.6,49.2,47.3,49.6,11.414,
gDNA - 2023-04-14 - 22.48.43.gDNA,C1,ZymoMagbead-HT-Organic-2,,100,8.5,8.5,,131,68,150,,1,,84.9,82.7,86.9,1160.603,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,C1,ZymoMagbead-HT-Organic-2,1,14128,2.09,,,0.228,5806,53949,100,0.25,50.72,46.5,43.3,50,126.984,
gDNA - 2023-04-14 - 22.48.43.gDNA,D1,ZymoMagbead-HT-Organic-3,,100,8.5,8.5,,131,66,144,,1,,86.5,84.5,88.8,1134.445,Lower Marker
gDNA - 2023-04-14 - 22.48.43.gDNA,D1,ZymoMagbead-HT-Organic-3,1,9481,0.397,,,0.0644,5163,19074,100,0.05,17.71,48.8,46.4,51.7,23.796,
gDNA - 2023-04-14 - 22.48.43.gDNA,E1,ZymoMagbead-HT-Sand-Clay-1,,100,8.5,8.5,,131,67,179,,1,,86.5,83.3,88.6,778.295,Lower Marker
