seq_id,project_id,sample_id,replicat,kit,soil_type,ext_method,ext_instrument,rpm,time_seconds,time_minutes,sample_weight_mg,sample_target,ext_position,ext_plate,lib_position,lib_plate,lib_conc,conc_nanodrop,260/280,260/230,conc_qubit,integrity,library_id,lib_volume,experiment
MQ200131-1,MFD004,MFD004-1,1,FastSpin LT,Organic,Bead Beating,Fastprep-24,6 m/s,160,2.67,130.1,125,Tube,Tube,A1,LJ004-Plate 1,17.7,418.37,1.58,0.45,97.15,4897,LIB-MFD004-1-FastSpin-01,Small-scale,Benchmarking
MQ200131-2,MFD004,MFD004-1,2,FastSpin LT,Organic,Bead Beating,Fastprep-24,6 m/s,160,2.67,123.2,125,Tube,Tube,B1,LJ004-Plate 1,0.06,348.73,1.57,0.31,47.79,5252,LIB-MFD004-1-FastSpin-02,Small-scale,Benchmarking
MQ200131-3,MFD004,MFD004-1,3,FastSpin LT,Organic,Bead Beating,Fastprep-24,6 m/s,160,2.67,128.5,125,Tube,Tube,C1,LJ004-Plate 1,0.05,378.99,1.54,0.38,47.52,6199,LIB-MFD004-1-FastSpin-03,Small-scale,Benchmarking
MQ200131-4,MFD004,MFD004-2,1,FastSpin LT,Sand-Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,121,125,Tube,Tube,D1,LJ004-Plate 1,17.7,294.03,1.56,0.23,46.67,5032,LIB-MFD004-2-FastSpin-01,Small-scale,Benchmarking
MQ200131-5,MFD004,MFD004-2,2,FastSpin LT,Sand-Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,128.6,125,Tube,Tube,E1,LJ004-Plate 1,17.1,364.75,1.51,0.3,48.27,5842,LIB-MFD004-2-FastSpin-02,Small-scale,Benchmarking
MQ200131-6,MFD004,MFD004-2,3,FastSpin LT,Sand-Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,121.7,125,Tube,Tube,F1,LJ004-Plate 1,21,296.51,1.53,0.24,46.45,5463,LIB-MFD004-2-FastSpin-03,Small-scale,Benchmarking
MQ200131-7,MFD004,MFD004-3,1,FastSpin LT,Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,128,125,Tube,Tube,G1,LJ004-Plate 1,18.29,189.59,1.66,0.15,44.8,4458,LIB-MFD004-3-FastSpin-01,Small-scale,Benchmarking
MQ200131-8,MFD004,MFD004-3,2,FastSpin LT,Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,120.8,125,Tube,Tube,H1,LJ004-Plate 1,16.54,186.27,1.59,0.17,30.68,5487,LIB-MFD004-3-FastSpin-02,Small-scale,Benchmarking
MQ200131-9,MFD004,MFD004-3,3,FastSpin LT,Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,121.5,125,Tube,Tube,A2,LJ004-Plate 1,19,97.73,1.62,0.09,24.02,5766,LIB-MFD004-3-FastSpin-03,Small-scale,Benchmarking
MQ200131-10,MFD004,MFD004-4,1,FastSpin LT,Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,128.7,125,Tube,Tube,B2,LJ004-Plate 1,0.03,324.1,1.79,0.25,206,6959,LIB-MFD004-4-FastSpin-01,Small-scale,Benchmarking
MQ200131-11,MFD004,MFD004-4,2,FastSpin LT,Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,127.7,125,Tube,Tube,C2,LJ004-Plate 1,22.24,334.53,1.75,0.26,215,6789,LIB-MFD004-4-FastSpin-02,Small-scale,Benchmarking
MQ200131-12,MFD004,MFD004-4,3,FastSpin LT,Clay,Bead Beating,Fastprep-24,6 m/s,160,2.67,134.3,125,Tube,Tube,D2,LJ004-Plate 1,16.01,353.78,1.71,0.27,211,7000,LIB-MFD004-4-FastSpin-03,Small-scale,Benchmarking
MQ200131-13,MFD004,MFD004-5,1,FastSpin LT,Beach Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,129,125,Tube,Tube,E2,LJ004-Plate 1,1.41,20.94,1.88,0.02,5.24,3750,LIB-MFD004-5-FastSpin-01,Small-scale,Benchmarking
MQ200131-14,MFD004,MFD004-5,2,FastSpin LT,Beach Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,123.4,125,Tube,Tube,F2,LJ004-Plate 1,21.53,21.3,2,0.02,5.58,5749,LIB-MFD004-5-FastSpin-02,Small-scale,Benchmarking
MQ200131-15,MFD004,MFD004-5,3,FastSpin LT,Beach Sand,Bead Beating,Fastprep-24,6 m/s,160,2.67,126.3,125,Tube,Tube,G2,LJ004-Plate 1,19.93,21.57,1.82,0.02,6.02,4834,LIB-MFD004-5-FastSpin-03,Small-scale,Benchmarking
MQ200131-16,MFD004,MFD004-AS,1,FastSpin LT,Activated sludge,Bead Beating,Fastprep-24,6 m/s,160,2.67,0.6,0.6,Tube,Tube,H2,LJ004-Plate 1,19.15,121.29,1.9,0.11,101.05,Not measured,LIB-MFD004-AS-FastSpin-01,Small-scale,Benchmarking
