"seq_id","before_total_reads","before_total_bases","before_q20_bases","before_q30_bases","before_q20_rate","before_q30_rate","before_read1_mean_length","before_read2_mean_length","before_gc_content","after_total_reads","after_total_bases","after_q20_bases","after_q30_bases","after_q20_rate","after_q30_rate","after_read1_mean_length","after_read2_mean_length","after_gc_content","passed_filter_reads","corrected_reads","corrected_bases","low_quality_reads","too_many_N_reads","too_short_reads","too_long_reads","duplication_rate","peak","seq_run","seq_lane"
"MFD004-1-F1-MJ362-A4-02",31780542,4798861842,4494443591,4111167021,0.936564,0.856696,151,151,0.618818,22085466,3260174291,3178016939,2984300262,0.9748,0.915381,147,147,0.624624,22412922,1060979,1368995,1737192,134,7630294,0,0.010803,151,"small_v_full","02"
"MFD004-1-F2-MJ362-B4-02",24303492,3669827292,3427674276,3131529767,0.934015,0.853318,151,151,0.61998,16691424,2463143723,2400978234,2254399739,0.974762,0.915253,147,147,0.626145,16989380,886180,1138777,1454968,96,5859048,0,0.0127956,151,"small_v_full","02"
"MFD004-1-F3-MJ362-C4-02",19078528,2880857728,2694230628,2465001033,0.935218,0.855648,151,151,0.621891,13257286,1958009213,1909465083,1794576063,0.975207,0.916531,147,147,0.626931,13448312,655332,842591,1092660,92,4537464,0,0.0103864,151,"small_v_full","02"
"MFD004-1-S1-MJ362-A8-02",33560280,5067602280,4779399278,4409463436,0.943128,0.870128,151,151,0.604134,23800446,3483719376,3407142810,3219320168,0.978019,0.924104,146,146,0.611251,24354284,1682485,2167519,1504908,108,7700980,0,0.017114,151,"small_v_full","02"
"MFD004-1-S2-MJ362-B8-02",25956558,3919440258,3670772818,3353864782,0.936555,0.8557,151,151,0.605428,18034912,2651730340,2580904669,2417010114,0.973291,0.911484,146,147,0.611233,18253936,1353829,1789584,1269612,88,6432922,0,0.00878876,151,"small_v_full","02"
"MFD004-1-S3-MJ362-C8-02",40418220,6103151220,5722313857,5248623192,0.9376,0.859986,151,151,0.611566,28005058,4089970650,3990156426,3752208311,0.975595,0.917417,145,146,0.617819,28483678,2187580,2846837,1992128,154,9942260,0,0.0122823,151,"small_v_full","02"
"MFD004-2-F1-MJ362-A9-02",55093140,8319064140,7816923985,7177689231,0.93964,0.8628,151,151,0.620203,39738000,5875688911,5735801080,5402130596,0.976192,0.919404,147,148,0.62583,40337656,2342079,3025343,2919682,270,11835532,0,0.0114037,151,"small_v_full","02"
"MFD004-2-F2-MJ362-B9-02",78778426,11895542326,11238344618,10346553103,0.944753,0.869784,151,151,0.622585,58586988,8635281159,8432888601,7937504151,0.976562,0.919195,147,147,0.62655,59515944,4314337,5479428,3169864,148,16092470,0,0.0122765,151,"small_v_full","02"
"MFD004-2-F3-MJ362-C9-02",85323684,12883876284,12116093543,11131680742,0.940407,0.864001,151,151,0.622328,61574050,9087336591,8874169738,8359592280,0.976542,0.919917,147,147,0.627423,62662686,4192856,5371328,4387544,368,18273086,0,0.0133848,151,"small_v_full","02"
"MFD004-2-S1-MJ362-D9-02",24341260,3675530260,3431564405,3123349228,0.933624,0.849768,151,151,0.615077,17211308,2557835161,2488299816,2327731961,0.972815,0.91004,148,148,0.618065,17507608,519228,664873,1507754,104,5325794,0,0.0126012,151,"small_v_full","02"
"MFD004-2-S2-MJ362-E9-02",38442472,5804813272,5436543809,4969688833,0.936558,0.856132,151,151,0.619535,27540746,4087740121,3983191165,3738856204,0.974424,0.914651,148,148,0.622759,28070272,931425,1201544,2226486,198,8145516,0,0.0143148,151,"small_v_full","02"
"MFD004-2-S3-MJ362-F9-02",33332730,5033242230,4683033418,4254045031,0.930421,0.84519,151,151,0.619993,23133048,3436864069,3342719597,3126328040,0.972607,0.909646,148,148,0.623659,23538534,657644,844369,2261598,146,7532452,0,0.0126257,151,"small_v_full","02"
"MFD004-3-F1-MJ362-D4-02",28180132,4255199932,3981920513,3645960128,0.935778,0.856825,151,151,0.620845,19607476,2894120234,2823040503,2653806454,0.97544,0.916965,147,147,0.625918,19989370,1099913,1405832,1562806,84,6627872,0,0.0140044,151,"small_v_full","02"
"MFD004-3-F2-MJ362-E4-02",19592712,2958499512,2786356261,2561591295,0.941814,0.865841,151,151,0.621155,14059446,2078852738,2029157651,1910243805,0.976095,0.918893,147,147,0.626821,14281646,624998,805882,912214,98,4398754,0,0.0117884,151,"small_v_full","02"
"MFD004-3-F3-MJ362-F4-02",33709288,5090102488,4773996491,4377321363,0.937898,0.859967,151,151,0.619561,23512678,3471344201,3387051204,3186439007,0.975717,0.917927,147,147,0.625981,23906318,1103217,1413446,1780760,196,8022014,0,0.012175,151,"small_v_full","02"
"MFD004-3-S1-MJ362-D8-02",30076084,4541488684,4254486116,3898601641,0.936804,0.858441,151,151,0.612119,20614242,3017061780,2943856361,2769792669,0.975736,0.918043,146,146,0.618046,20986090,1521216,1978481,1646432,120,7443442,0,0.0129924,151,"small_v_full","02"
"MFD004-3-S2-MJ362-E8-02",51393704,7760449304,7284966309,6699214006,0.93873,0.863251,151,151,0.612218,36106944,5296232892,5174885089,4881161184,0.977088,0.921629,146,146,0.618724,36851646,2518444,3255254,2621296,158,11920604,0,0.0150194,151,"small_v_full","02"
"MFD004-3-S3-MJ362-F8-02",32299678,4877251378,4589726001,4226704366,0.941048,0.866616,151,151,0.612428,22192636,3233524639,3161109796,2984021446,0.977605,0.922839,145,145,0.619796,22597664,1808724,2345192,1473226,100,8228688,0,0.0131019,151,"small_v_full","02"
"MFD004-4-F1-MJ362-G4-02",33568128,5068787328,4743739327,4338483026,0.935873,0.855921,151,151,0.636207,23612500,3493943944,3406396517,3199021888,0.974943,0.915591,147,148,0.641114,23977912,1028042,1324601,1844554,138,7745524,0,0.0112737,151,"small_v_full","02"
"MFD004-4-F2-MJ362-H4-02",21638464,3267408064,3056076909,2790267685,0.935321,0.85397,151,151,0.638683,15078126,2233802293,2176694044,2042032447,0.974435,0.914151,148,148,0.642816,15343180,581955,740973,1303210,94,4991980,0,0.0127921,151,"small_v_full","02"
