OTU,MFD004-1-F1,MFD004-1-F2,MFD004-1-F3,MFD004-1-S1,MFD004-1-S2,MFD004-1-S3,MFD004-2-F1,MFD004-2-F2,MFD004-2-F3,MFD004-2-S1,MFD004-2-S2,MFD004-2-S3,MFD004-3-F1,MFD004-3-F2,MFD004-3-F3,MFD004-3-S1,MFD004-3-S2,MFD004-3-S3,MFD004-4-F1,MFD004-4-F2,MFD004-4-F3,MFD004-4-S1,MFD004-4-S2,MFD004-5-F1,MFD004-5-F2,MFD004-5-F3,MFD004-5-S1,MFD004-5-S2,MFD004-5-S3,MFD004-PCR-NEG-S,MFD004-PCR-POS-F,MFD004-PCR-POS-S,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,2,2,0,4,2,0,6,0,4,1,3,0,3,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,Archaea,,,,,,
OTU_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Crenarchaeota,,,,,
OTU_3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,Archaea,Crenarchaeota,Bathyarchaeia,denovo_o_55017,denovo_f_55102,,
OTU_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Archaea,Crenarchaeota,Bathyarchaeia,denovo_o_55017,denovo_f_55102,denovo_g_55102,denovo_s_55102
OTU_5,0,2,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Archaea,Crenarchaeota,Bathyarchaeia,denovo_o_55017,denovo_f_55102,denovo_g_55134,
OTU_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Archaea,Crenarchaeota,Bathyarchaeia,denovo_o_55017,denovo_f_55102,denovo_g_55134,denovo_s_55411
OTU_7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Crenarchaeota,Bathyarchaeia,denovo_o_55017,denovo_f_55102,denovo_g_55134,denovo_s_58032
OTU_8,0,4,0,0,0,0,3,0,0,0,3,1,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Archaea,Crenarchaeota,Nitrososphaeria,,,,
OTU_9,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,,,
OTU_10,0,2,0,6,1,6,3,15,10,3,4,4,6,2,3,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,denovo_f_55089,,
